#(1)Mode,(2)ID,(3)IDnc,(4)era5,(5)erai,(6)Full,(7)Units
csfc,t_mwv_RE5,NA,NA,NA,Water Vapour Weighted Column Temperature,K
csfc,t_mwv_REP,NA,NA,NA,Water Vapour Weighted Column Temperature,K
csfc,t_mwv_REI,NA,NA,NA,Water Vapour Weighted Column Temperature,K
csfc,t_mwv_RGA,NA,NA,NA,Water Vapour Weighted Column Temperature,K
csfc,t_mwv_EBB,NA,NA,NA,Water Vapour Weighted Column Temperature,K
csfc,t_mwv_EBM,NA,NA,NA,Water Vapour Weighted Column Temperature,K
csfc,t_mwv_EG2,NA,NA,NA,Water Vapour Weighted Column Temperature,K
csfc,t_mwv_EMN,NA,NA,NA,Water Vapour Weighted Column Temperature,K
csfc,Pi_RE5,NA,NA,NA,Pi Constant (ZWD to PWD),m/m
csfc,Pi_REP,NA,NA,NA,Pi Constant (ZWD to PWD),m/m
csfc,Pi_REI,NA,NA,NA,Pi Constant (ZWD to PWD),m/m
csfc,Pi_RGA,NA,NA,NA,Pi Constant (ZWD to PWD),m/m
csfc,Pi_EBB,NA,NA,NA,Pi Constant (ZWD to PWD),m/m
csfc,Pi_EBM,NA,NA,NA,Pi Constant (ZWD to PWD),m/m
csfc,Pi_EG2,NA,NA,NA,Pi Constant (ZWD to PWD),m/m
csfc,Pi_EMN,NA,NA,NA,Pi Constant (ZWD to PWD),m/m
